No.,因子名,因子色,分類,備考
145,押し切り準備,white,skill,
146,スタミナキープ,white,skill,
147,好位追走,white,skill,
148,抜け出し準備,white,skill,
149,位置取り押し上げ,white,skill,
150,差し切り体勢,white,skill,
151,外差し準備,white,skill,
152,後方待機,white,skill,
153,仕掛け抜群,white,skill,
154,直線一気,white,skill,
155,スプリントギア,white,skill,
156,様子見,white,skill,
157,詰め寄り,white,skill,
158,積極策,white,skill,
159,展開窺い,white,skill,
160,上昇気流,white,skill,
161,前途洋々,white,skill,
162,テンポアップ,white,skill,
163,食い下がり,white,skill,
164,深呼吸,white,skill,
165,内弁慶,white,skill,
166,別腹タンク,white,skill,
167,トリック（前）,white,skill,
168,トリック（後）,white,skill,
169,逃げ駆け引き,white,skill,
170,先行駆け引き,white,skill,
171,差し駆け引き,white,skill,
172,追込駆け引き,white,skill,
173,逃げけん制,white,skill,
174,逃げ焦り,white,skill,
175,逃げためらい,white,skill,
176,先行けん制,white,skill,
177,先行焦り,white,skill,
178,先行ためらい,white,skill,
179,差しけん制,white,skill,
180,差し焦り,white,skill,
181,差しためらい,white,skill,
182,追込けん制,white,skill,
183,追込焦り,white,skill,
184,追込ためらい,white,skill,
185,大井レース場○,white,skill,
186,短距離直線○,white,skill,
187,短距離コーナー○,white,skill,
188,大きなリード,white,skill,
189,善後策,white,skill,
190,仕掛け準備,white,skill,
191,後方釘付,white,skill,
192,抜け駆け禁止,white,skill,
193,マイル直線○,white,skill,
194,マイルコーナー○,white,skill,
195,ギアシフト,white,skill,
196,アクセラレーション,white,skill,
197,負けん気,white,skill,
198,スピードイーター,white,skill,
199,布石,white,skill,
200,中距離直線○,white,skill,
201,中距離コーナー○,white,skill,
202,ホークアイ,white,skill,
203,イナズマステップ,white,skill,
204,軽やかステップ,white,skill,
205,束縛,white,skill,
206,ささやき,white,skill,
207,長距離直線○,white,skill,
208,長距離コーナー○,white,skill,
209,リードキープ,white,skill,
210,パス上手,white,skill,
211,追い上げ,white,skill,
212,スタミナイーター,white,skill,
213,目くらまし,white,skill,
214,逃げ直線○,white,skill,
215,逃げコーナー○,white,skill,
216,危険回避,white,skill,
217,先頭プライド,white,skill,
218,勢い任せ,white,skill,
219,二の矢,white,skill,
220,リスタート,white,skill,
221,先行直線○,white,skill,
222,先行コーナー○,white,skill,
223,巧みなステップ,white,skill,
224,直滑降,white,skill,
225,栄養補給,white,skill,
226,まき直し,white,skill,
227,かく乱,white,skill,
228,差し直線○,white,skill,
229,差しコーナー○,white,skill,
230,がんばり屋,white,skill,
231,十万バリキ,white,skill,
232,小休憩,white,skill,
233,読解力,white,skill,
234,鋭い眼光,white,skill,
235,追込直線○,white,skill,
236,追込コーナー○,white,skill,
237,お見通し,white,skill,
238,下校の楽しみ,white,skill,
239,冷静,white,skill,
240,策士,white,skill,
241,まなざし,white,skill,
242,逃げのコツ○,white,skill,
243,先行のコツ○,white,skill,
244,差しのコツ○,white,skill,
245,追込のコツ○,white,skill,
246,ラッキーセブン,white,skill,
247,スリーセブン,white,skill,
248,登山家,white,skill,
249,ウマ好み,white,skill,
250,地固め,white,skill,
251,尻尾上がり,white,skill,
252,ふり絞り,white,skill,
253,シンパシー,white,skill,
254,一匹狼,white,skill,
255,スリップストリーム,white,skill,
256,遊びはおしまいっ！,white,skill,
257,レコメンド,white,skill,
258,前列狙い,white,skill,
259,静かな呼吸,white,skill,
260,ありったけ,white,skill,
261,真っ向勝負,white,skill,
262,砂塵慣れ,white,skill,
263,影打,white,skill,
264,早仕掛け,white,skill,
265,あやしげな作戦,white,skill,
266,軽い足取り,white,skill,
267,マイペース,white,skill,
268,ワンチャンス,white,skill,
269,闘争心,white,skill,
270,前のめり,white,skill,
271,気合十分,white,skill,
272,恐れぬ心,white,skill,
273,気迫を込めて,white,skill,
274,フルスロットル,white,skill,
275,自制心,white,skill,
276,下り坂巧者,white,skill,
277,抜かりなし,white,skill,
278,川崎レース場○,white,skill,
279,船橋レース場○,white,skill,
280,盛岡レース場○,white,skill,
281,ナイター○,white,skill,
282,小回り○,white,skill,
283,交流重賞○,white,skill,
284,明るい兆し,white,skill,
285,盛り返し,white,skill,
286,まっしぐら,white,skill,
287,冴える思考,white,skill,
288,砂浴び○,white,skill,
289,意気込み十分,white,skill,
290,急浮上,white,skill,
291,踏み込み上手,white,skill,
292,泥遊び○,white,skill,
293,土煙,white,skill,
294,圧迫感,white,skill,
295,攻めの姿勢,white,skill,
296,打開策,white,skill,
297,しゃかりき,white,skill,
298,一足飛び,white,skill,
299,向上心,white,skill,
300,がむしゃら,white,skill,
301,確かな足取り,white,skill,
302,やまっけ,white,skill,
303,キレる脚,white,skill,
304,粘り腰,white,skill,
305,食らいつき,white,skill,
306,本領発揮,white,skill,
307,切れ味,white,skill,
308,向こう見ず,white,skill,
309,型破り,white,skill,
310,しとやかな足取り,white,skill,
311,プレッシャー,white,skill,
312,快速,white,skill,
313,ロックオン,white,skill,
314,脇目も振らず,white,skill,
315,大急ぎ,white,skill,
316,イグニッション,white,skill,
317,溢れる情熱,white,skill,
318,進出開始,white,skill,
319,一歩から,white,skill,
320,自信家,white,skill,
321,込み上げる熱,white,skill,
322,心弾んで,white,skill,
323,バイブス上昇,white,skill,
324,一番乗り,white,skill,
325,探求心,white,skill,
326,会心の一歩,white,skill,
327,折れない心,white,skill,
328,ロンシャンレース場○,white,skill,
329,品行方正,white,skill,
330,ひたむき前進,white,skill,
331,勝利に向かって,white,skill,
332,狙いを定めて,white,skill,
333,中盤巧者,white,skill,
334,序盤巧者,white,skill,
335,大詰め,white,skill,
336,迷いなし,white,skill,
337,二段構え,white,skill,
338,砂払い,white,skill,
339,ごぼう抜き,white,skill,
340,急発進,white,skill,
341,渾身の足取り,white,skill,
342,たぎる血潮,white,skill,
343,不動の心,white,skill,
344,推力十分,white,skill,
345,切り崩し,white,skill,
346,惜しみなし,white,skill,
347,影踏み,white,skill,
348,鬼気迫って,white,skill,
349,パイオニア,white,skill,
350,滾る想い,white,skill,
351,好機を捉えて,white,skill,
352,飛躍の予感,white,skill,
353,直線コース○,white,skill,
354,手練手管,white,skill,
355,瞬発力,white,skill,
356,風切り,white,skill,
357,素直な一歩,white,skill,
358,胸の高鳴り,white,skill,
359,揺るがぬ信念,white,skill,
360,無二,white,skill,
361,無三,white,skill,
362,力の限り,white,skill,
363,ダート直線○,white,skill,
364,ダートコーナー○,white,skill,
365,正面突破,white,skill,
366,さらなる高みへ,white,skill,
367,決定打,white,skill,
368,克己心,white,skill,
369,むきだしの情熱,white,skill,
370,後先恐れず,white,skill,
371,切り替え上手,white,skill,
372,裏腹なキモチ,white,skill,
373,目にも留まらず,white,skill,
374,気の向くままに,white,skill,
375,アグレッシブ,white,skill,
376,逸る足取り,white,skill,
377,端緒,white,skill,
378,急襲,white,skill,
379,覚悟を決めて,white,skill,
380,切り込み隊長,white,skill,
381,熱狂的,white,skill,
382,光差す方へ,white,skill,
383,駆け降り,white,skill,
384,下準備,white,skill,
385,這い寄る足音,white,skill,
386,ハイピッチ,white,skill,
387,一歩ずつ前へ,white,skill,
388,切り返し,white,skill,
389,逃げ切り体勢,white,skill,
390,破天荒,white,skill,
391,追い風に乗って,white,skill,
392,地道に重ねて,white,skill,
393,己を信じて,white,skill,
394,躍動,white,skill,
395,憧れを越えて,white,skill,
396,ターニングポイント,white,skill,
397,抜きん出る一歩,white,skill,
398,みなぎる闘志,white,skill,
399,譲れぬ一歩,white,skill,
400,火花散らして,white,skill,
401,比類なき,white,skill,
402,覇気十分,white,skill,
403,垣間見た光,white,skill,
404,登竜門,white,skill,
405,足任せ,white,skill,
406,ステップアップ,white,skill,
407,奮闘,white,skill,
408,足がかり,white,skill,
409,捕捉,white,skill,
410,押し通る！,white,skill,
411,砂蹴り,white,skill,
412,精進,white,skill,
413,真っ直ぐな走り,white,skill,
414,夢への挑戦,white,skill,
415,光明,white,skill,
416,活路を拓く！,white,skill,
417,健脚,white,skill,
418,静かな熱,white,skill,
419,不断の鍛錬,white,skill,
420,思い切り,white,skill,
421,勇気の一歩,white,skill,
422,張り切り,white,skill,
423,間隙を突いて,white,skill,
424,影を追って,white,skill,
425,追駆,white,skill,
426,臆せぬ心,white,skill,
427,衝動,white,skill,
428,好戦的,white,skill,
429,想い焦がれて,white,skill,
430,精神力,white,skill,
431,内なる獣,white,skill,
432,頂を目指して,white,skill,
433,優等生,white,skill,
434,心惹かれて,white,skill,
435,気ままな足取り,white,skill,
436,弾ける足取り,white,skill,
437,待ったなし,white,skill,
438,ヒートアップ,white,skill,
439,急降下,white,skill,
440,誇りを抱いて,white,skill,
441,プレリュード,white,skill,
442,練達の一歩,white,skill,
443,シビれる走り,white,skill,
444,天才肌,white,skill,
445,気丈な姿勢,white,skill,
446,なりふり構わず,white,skill,
447,バイタリティ,white,skill,
448,目覚めの時,white,skill,
449,意地っ張り,white,skill,
450,力業,white,skill,
451,ここ一番,white,skill,
452,労を惜しまず,white,skill,
453,華麗な足取り,white,skill,
454,灯を胸に,white,skill,
455,凛然と,white,skill,
456,気持ちを乗せて,white,skill,
457,余勢を駆って,white,skill,
458,逃げるが勝ち！,white,skill,
459,轟く足音,white,skill,
460,淀みなし,white,skill,
461,勝負を懸けて,white,skill,
462,大志を抱いて,white,skill,
463,あふれる活力,white,skill,
464,前進あるのみ,white,skill,
465,押しの一手,white,skill,
466,溌剌,white,skill,
467,巨歩,white,skill,
468,アプローチ,white,skill,
469,戦略家,white,skill,
470,卓越する走り,white,skill,
471,もう一踏ん張り,white,skill,
472,サンタアニタパークレース場○,white,skill,
473,デルマーレース場○,white,skill,
474,急旋回,white,skill,
475,猛プッシュ,white,skill,
476,超長距離回復○,white,skill,
477,個性的,white,skill,
478,押せ押せムード,white,skill,
479,阿吽の呼吸,white,skill,
480,実直な走り,white,skill,
481,弾みをつけて,white,skill,
482,勇を奮って,white,skill,
483,大立ち回り,white,skill,
484,流れに任せて,white,skill,
485,輝きを放って,white,skill,
486,息抜き上手,white,skill,
487,憂いなし,white,skill,
488,影より速く,white,skill,
489,追尾,white,skill,
490,いざ我が道へ！,white,skill,
491,奮い立つ心,white,skill,
492,筆に任せて,white,skill,
493,ポイントマン,white,skill,
494,ダブルアクセル,white,skill,
495,存在感,white,skill,
496,潮目を掴んで,white,skill,
497,華麗な踏み込み,white,skill,
498,先導者,white,skill,
499,奥の手,white,skill,
500,勝負勘,white,skill,
501,ただその先へ,white,skill,
502,連綿,white,skill,
503,広がる景色,white,skill,
504,私の足取り,white,skill,
505,砂塵を越えて,white,skill,
506,ここが狙い目,white,skill,
507,元気バクハツ,white,skill,
508,立ち合い,white,skill,
509,突き抜ける走り,white,skill,
510,気勢を上げて,white,skill,
511,アオハル点火・速,white,skill,
512,アオハル点火・体,white,skill,
513,アオハル点火・力,white,skill,
514,アオハル点火・根,white,skill,
515,アオハル点火・賢,white,skill,
516,綺羅星,white,skill,
517,夢の途中,white,skill,
518,レースの真髄・速,white,skill,
519,レースの真髄・体,white,skill,
520,レースの真髄・力,white,skill,
521,レースの真髄・根,white,skill,
522,レースの真髄・賢,white,skill,
523,レースの真髄・心,white,skill,
524,レースの真髄・速＋,white,skill,
525,レースの真髄・体＋,white,skill,
526,レースの真髄・力＋,white,skill,
527,レースの真髄・根＋,white,skill,
528,レースの真髄・賢＋,white,skill,
529,レースの真髄・心＋,white,skill,
530,前だけ見据えて,white,skill,
531,アオハル点火・速＋,white,skill,
532,アオハル点火・体＋,white,skill,
533,アオハル点火・力＋,white,skill,
534,アオハル点火・根＋,white,skill,
535,アオハル点火・賢＋,white,skill,
536,陽の加護,white,skill,
537,海の加護,white,skill,
538,地の加護,white,skill,
539,想いを背負って,white,skill,
540,バーニングソウル,white,skill,
541,いつまでも健やかに,white,skill,
542,夢の再生方法,white,skill,
543,時代を変える者,white,skill,
544,あるがままに,white,skill,
545,本気で休んで、もう一度,white,skill,
546,アメリカンドリーム,white,skill,
547,恩返し、召し上がれ,white,skill,
548,スピードの目覚め,white,awakening,
549,スタミナの目覚め,white,awakening,
550,パワーの目覚め,white,awakening,
551,根性の目覚め,white,awakening,
552,賢さの目覚め,white,awakening,
553,右回りの目覚め,white,awakening,
554,左回りの目覚め,white,awakening,
555,春の目覚め,white,awakening,
556,夏の目覚め,white,awakening,
557,秋の目覚め,white,awakening,
558,冬の目覚め,white,awakening,
559,連戦連勝,white,hidden,
560,東の雄,white,hidden,
561,西の雄,white,hidden,
562,旅人,white,hidden,
563,全階級制覇,white,hidden,
564,パーフェクトクラウン,white,hidden,
565,パーフェクトティアラ,white,hidden,
566,新聞屋さん,white,hidden,
567,一年の計は,white,hidden,
568,SSS,white,hidden,
569,SMS,white,hidden,
570,S2000,white,hidden,
571,星に願いを,white,hidden,
572,ジュエリー,white,hidden,
573,お嬢様,white,hidden,
574,太陽系,white,hidden,
575,ノーブレーキ,white,hidden,
576,ビュービュー,white,hidden,
577,ピカピカ,white,hidden,
578,出たとこ勝負,white,hidden,
579,山娘,white,hidden,
580,全天候型,white,hidden,
581,企画上手,white,hidden,
582,策略家,white,hidden,
583,ウマ娘よ大志を抱け,white,hidden,
584,大肺活量,white,hidden,
585,東奔西走,white,hidden,
586,想いの継ぎ手,white,hidden,
587,甲斐性なし,white,hidden,
588,健闘,white,hidden,
589,叩き良化型,white,hidden,
590,二刀流,white,hidden,
591,諦めない心,white,hidden,
592,信頼の証,white,hidden,
593,自由自在,white,hidden,
594,SMILE,white,hidden,
595,リフレッシュ,white,hidden,
596,バランス重視,white,hidden,
597,反骨精神,white,hidden,
598,ジャックポット,white,hidden,
